video,species,maxn,minutes,file,time_in_file,viewer
20180810_SO1C,Paguroidea,1,0,GOPR0283,00:06:26,Guillermo Porriños
20180810_SO1C,Caranx crysos,1,2.433333333,GOPR0283,00:08:52,Guillermo Porriños
20180810_SO1C,Carangoides bartholomaei,1,2.583333333,GOPR0283,00:09:01,Guillermo Porriños
20180810_SO1C,Caranx crysos,2,13.1,GP010283,00:01:51,Guillermo Porriños
20180810_SO1C,Balistes punctatus,1,15.88333333,GP010283,00:04:38,Guillermo Porriños
20180810_SO1C,Caranx crysos,3,37.83333333,GP020283,00:08:54,Guillermo Porriños
20180810_SO1C,Acanthocybium solandri,1,43.3,GP020283,00:14:22,Guillermo Porriños
20180810_SO1C,Sphyraena barracuda,1,48.35,GP030283,00:01:44,Guillermo Porriños
20180810_SO1C,Paguroidea,2,64.3,GP040283,00:00:00,Guillermo Porriños
20180810_SO1A,Paranthias furcifer,7,0,GOPR0027,00:08:07,Guillermo Porriños
20180810_SO1A,Prionurus biafraensis,16,0,GOPR0027,00:08:07,Guillermo Porriños
20180810_SO1A,Microspathodon frontatus,1,0.083333333,GOPR0027,00:08:12,Guillermo Porriños
20180810_SO1A,Rypticus saponaceus,1,0.35,GOPR0027,00:08:28,Guillermo Porriños
20180810_SO1A,Cephalopholis nigri,1,0.4,GOPR0027,00:08:31,Guillermo Porriños
20180810_SO1A,Thalassoma newtoni,2,0.833333333,GOPR0027,00:08:57,Guillermo Porriños
20180810_SO1A,Paranthias furcifer,15,1.633333333,GOPR0027,00:09:45,Guillermo Porriños
20180810_SO1A,Prionurus biafraensis,62,2,GOPR0027,00:10:07,Guillermo Porriños
20180810_SO1A,Kyphosus sectatrix,1,1.983333333,GOPR0027,00:10:06,Guillermo Porriños
20180810_SO1A,Spicara nigricauda,2,3.133333333,GOPR0027,00:11:15,Guillermo Porriños
20180810_SO1A,Scarus hoefleri,2,3.85,GOPR0027,00:11:58,Guillermo Porriños
20180810_SO1A,Myripristis jacobus,1,3.9,GOPR0027,00:12:01,Guillermo Porriños
20180810_SO1A,Abudefduf hoefleri,1,3.95,GOPR0027,00:12:04,Guillermo Porriños
20180810_SO1A,Cephalopholis nigri,2,4.466666667,GOPR0027,00:12:35,Guillermo Porriños
20180810_SO1A,Holocentrus adscensionis,1,4.633333333,GOPR0027,00:12:45,Guillermo Porriños
20180810_SO1A,Lutjanus sp.,1,4.666666667,GOPR0027,00:12:47,Guillermo Porriños
20180810_SO1A,Cirrhitus atlanticus,1,4.85,GOPR0027,00:12:58,Guillermo Porriños
20180810_SO1A,Mulloidichthys martinicus,1,5.183333333,GOPR0027,00:13:18,Guillermo Porriños
20180810_SO1A,Myripristis jacobus,2,5.9,GOPR0027,00:14:01,Guillermo Porriños
20180810_SO1A,Enchelycore nigricans,1,6.466666667,GOPR0027,00:14:35,Guillermo Porriños
20180810_SO1A,Acanthurus monroviae,1,6.983333333,GOPR0027,00:15:06,Guillermo Porriños
20180810_SO1A,Microspathodon frontatus,3,8.1,GOPR0027,00:16:13,Guillermo Porriños
20180810_SO1A,Microspathodon frontatus,6,9.916666667,GP010027,00:00:21,Guillermo Porriños
20180810_SO1A,Myripristis jacobus,3,10.7,GP010027,00:01:08,Guillermo Porriños
20180810_SO1A,Mulloidichthys martinicus,3,13.2,GP010027,00:03:38,Guillermo Porriños
20180810_SO1A,Abudefduf hoefleri,2,13.91666667,GP010027,00:04:21,Guillermo Porriños
20180810_SO1A,Enchelycore nigricans,2,17.75,GP010027,00:08:11,Guillermo Porriños
20180810_SO1A,Clepticus africanus,1,80.25,GP020027,00:53:00,Guillermo Porriños
20180810_SO1A,Holacanthus africanus,1,46.35,GP030027,00:01:25,Guillermo Porriños
20180810_SO1A,Sparisoma choati,1,52.23333333,GP030027,00:07:18,Guillermo Porriños
20180809_OO2D,Bothus sp.,1,27.6,GP010032,00:14:55,Guillermo Porriños
20180809_OO2D,Caranx crysos,1,45.75,GP020032,00:15:23,Guillermo Porriños
20180809_OO2D,Bothus sp.,2,47.36666667,GP020032,00:17:00,Guillermo Porriños
20180809_OO2D,Caranx crysos,2,52.68333333,GP030032,00:04:38,Guillermo Porriños
20180809_OO2D,Seriola rivoliana,1,71.31666667,GP040032,00:05:35,Guillermo Porriños
20180809_OO2D,Balistes capriscus,1,72.35,GP040032,00:06:37,Guillermo Porriños
20180809_NO2A,Xyrichtys novacula,1,0,GOPR0025,00:06:30,Guillermo Porriños
20180809_NO2A,Xyrichtys novacula,2,2.133333333,GOPR0025,00:08:38,Guillermo Porriños
20180809_NO2A,Bothus sp.,1,8.133333333,GOPR0025,00:14:38,Guillermo Porriños
20180809_NO2A,Balistes capriscus,1,18.31666667,GP010025,00:07:08,Guillermo Porriños
20180809_NO2A,Caranx crysos,1,27.43333333,GP010025,00:16:15,Guillermo Porriños
20180809_NO2A,Xyrichtys novacula,3,30.26666667,GP020025,00:01:24,Guillermo Porriños
20180809_NO2A,Lagocephalus laevigatus,1,57.63333333,GP030025,00:11:05,Guillermo Porriños
20180809_NO2A,Caranx crysos,2,58.7,GP030025,00:12:09,Guillermo Porriños
20180809_NO2A,Sphoeroides marmoratus,1,63.83333333,GP030025,00:17:17,Guillermo Porriños
20180809_NO2A,Balistes capriscus,2,63.98333333,GP030025,00:17:26,Guillermo Porriños
20180809_NO2A,Sphyraena barracuda,1,66.63333333,GP040025,00:02:24,Guillermo Porriños
20180809_NO2A,Dactylopterus volitans,1,74.9,GP040025,00:10:40,Guillermo Porriños
20180809_NO2A,Carangoides bartholomaei,2,76.86666667,GP040025,00:12:38,Guillermo Porriños
20180804_SE2E,Paranthias furcifer,2,0,GOPR0075,00:07:04,Guillermo Porriños
20180804_SE2E,Thalassoma newtoni,3,0,GOPR0075,00:07:04,Guillermo Porriños
20180804_SE2E,Holacanthus africanus,1,0.2,GOPR0075,00:07:16,Guillermo Porriños
20180804_SE2E,Holocentrus adscensionis,1,0.45,GOPR0075,00:07:31,Guillermo Porriños
20180804_SE2E,Paranthias furcifer,5,0.616666667,GOPR0075,00:07:41,Guillermo Porriños
20180804_SE2E,Cephalopholis nigri,1,1.366666667,GOPR0075,00:08:26,Guillermo Porriños
20180804_SE2E,Lutjanus sp.,1,3.05,GP010075,00:01:16,Guillermo Porriños
20180804_SE2E,Paranthias furcifer,6,3.766666667,GP010075,00:01:59,Guillermo Porriños
20180804_SE2E,Rypticus saponaceus,1,4.9,GP010075,00:03:07,Guillermo Porriños
20180804_SE2E,Cephalopholis nigri,2,5.183333333,GP010075,00:03:24,Guillermo Porriños
20180804_SE2E,Caranx crysos,1,10.13333333,GP010075,00:08:21,Guillermo Porriños
20180804_SE2E,Thalassoma newtoni,4,11.5,GP020075,00:00:52,Guillermo Porriños
20180804_SE2E,Cirrhitus atlanticus,1,12.76666667,GP020075,00:02:08,Guillermo Porriños
20180804_SE2E,NA1,1,17.01666667,GP020075,00:06:23,Guillermo Porriños
20180804_SE2E,Coris atlantica,1,22.41666667,GP030075,00:02:56,Guillermo Porriños
20180804_SE2E,Enchelycore nigricans,1,25.58333333,GP030075,00:06:06,Guillermo Porriños
20180804_SE2E,Lethrinus atlanticus,1,28.7,GP040075,00:00:22,Guillermo Porriños
20180804_SE2E,Scarus hoefleri,1,29.68333333,GP040075,00:01:21,Guillermo Porriños
20180804_SE2E,Thalassoma newtoni,5,29.81666667,GP040075,00:01:29,Guillermo Porriños
20180804_SE2E,NA2,14,32.08333333,GP040075,00:03:45,Guillermo Porriños
20180804_SE2E,Holacanthus africanus,2,44.71666667,GP050075,00:07:32,Guillermo Porriños
20180804_SE2E,Eretmochelys imbricata,1,47.26666667,GP060075,00:01:14,Guillermo Porriños
20180804_SE2E,Balistes punctatus,1,52.25,GP060075,00:06:13,Guillermo Porriños
20180804_SE2E,Sparisoma rubripinne,1,61.53333333,GP070075,00:06:39,Guillermo Porriños
20180804_SE2E,Caranx lugubris,1,61.98333333,GP070075,00:07:06,Guillermo Porriños
20180804_SE2E,Sparisoma choati,1,63.86666667,GP080075,00:00:08,Guillermo Porriños
20180804_SE2E,Cantherhines pullus,1,73.46666667,GP090075,00:00:53,Guillermo Porriños
20180809_NO2C,Carangoides bartholomaei,1,0.816666667,GOPR0281,00:07:50,Guillermo Porriños
20180809_NO2C,Carangoides bartholomaei,2,0.983333333,GOPR0281,00:08:00,Guillermo Porriños
20180809_NO2C,Sphoeroides marmoratus,1,6.633333333,GOPR0281,00:13:39,Guillermo Porriños
20180809_NO2C,Xyrichtys novacula,1,9.05,GOPR0281,00:16:04,Guillermo Porriños
20180809_NO2C,Xyrichtys novacula,2,20.36666667,GP010281,00:09:42,Guillermo Porriños
20180809_NO2C,Xyrichtys novacula,3,24.98333333,GP010281,00:14:19,Guillermo Porriños
20180809_NO2C,Lutjanus sp.,2,36.35,GP020281,00:08:00,Guillermo Porriños
20180809_NO2C,Elagatis bipinnulata,1,36.78333333,GP020281,00:08:26,Guillermo Porriños
20180809_NO2C,Bothus sp.,1,52.41666667,GP030281,00:06:23,Guillermo Porriños
20190115_EE05-2_C3,Muraena melanotis,2,0,GOPR0299,00:07:49,Liliana Colman
20190115_EE05-2_C3,Myripristis jacobus,4,0,GOPR0299,00:07:49,Liliana Colman
20190115_EE05-2_C3,Canthigaster supramacula,1,0,GOPR0299,00:07:49,Liliana Colman
20190115_EE05-2_C3,Abudefduf hoefleri,2,0,GOPR0299,00:07:49,Liliana Colman
20190115_EE05-2_C3,Cephalopholis nigri,1,0,GOPR0299,00:07:49,Liliana Colman
20190115_EE05-2_C3,Canthigaster supramacula,2,0.05,GOPR0299,00:07:52,Liliana Colman
20190115_EE05-2_C3,Cephalopholis nigri,2,0.733333333,GOPR0299,00:08:33,Liliana Colman
20190115_EE05-2_C3,Paranthias furcifer,1,2.733333333,GOPR0299,00:10:33,Liliana Colman
20190115_EE05-2_C3,Coris atlantica,1,3.816666667,GOPR0299,00:11:38,Liliana Colman
20190115_EE05-2_C3,Abudefduf hoefleri,3,3.816666667,GOPR0299,00:11:38,Liliana Colman
20190115_EE05-2_C3,Muraena melanotis,3,4.616666667,GOPR0299,00:12:26,Liliana Colman
20190115_EE05-2_C3,Enchelycore nigricans,1,4.816666667,GOPR0299,00:12:38,Liliana Colman
20190115_EE05-2_C3,Holocentrus adscensionis,1,6.05,GOPR0299,00:13:52,Liliana Colman
20190115_EE05-2_C3,Paranthias furcifer,49,6.083333333,GOPR0299,00:13:54,Liliana Colman
20190115_EE05-2_C3,Negaprion brevirostris,1,6.083333333,GOPR0299,00:13:54,Liliana Colman
20190115_EE05-2_C3,Echeneis naucrates,1,6.183333333,GOPR0299,00:14:00,Liliana Colman
20190115_EE05-2_C3,Bodianus speciosus,1,6.666666667,GOPR0299,00:14:29,Liliana Colman
20190115_EE05-2_C3,Acanthurus monroviae,1,9.45,GOPR0299,00:17:16,Liliana Colman
20190115_EE05-2_C3,Myripristis jacobus,8,11.03333333,GP010299,00:01:10,Liliana Colman
20190115_EE05-2_C3,Paranthias furcifer,66,12,GP010299,00:02:08,Liliana Colman
20190115_EE05-2_C3,Enchelycore nigricans,2,13.88333333,GP010299,00:04:01,Liliana Colman
20190115_EE05-2_C3,Lutjanus agennes,1,14.18333333,GP010299,00:04:19,Liliana Colman
20190115_EE05-2_C3,Paranthias furcifer,136,14.83333333,GP010299,00:04:58,Liliana Colman
20190115_EE05-2_C3,Carangoides bartholomaei,4,14.95,GP010299,00:05:05,Liliana Colman
20190115_EE05-2_C3,Lutjanus fulgens,3,27.96666667,GP020299,00:00:25,Liliana Colman
20190115_EE05-2_C3,Bodianus speciosus,2,31.18333333,GP020299,00:03:38,Liliana Colman
20190115_EE05-2_C3,Negaprion brevirostris,2,31.88333333,GP020299,00:04:20,Liliana Colman
20190115_EE05-2_C3,Echeneis naucrates,4,31.88333333,GP020299,00:04:20,Liliana Colman
20190115_EE05-2_C3,Bodianus speciosus,3,32.91666667,GP020299,00:05:22,Liliana Colman
20190115_EE05-2_C3,Mulloidichthys martinicus,2,35.35,GP020299,00:07:48,Liliana Colman
20190115_EE05-2_C3,NA1,1,38.3,GP020299,00:10:45,Liliana Colman
20190115_EE05-2_C3,Cirrhitus atlanticus,1,38.93333333,GP020299,00:11:23,Liliana Colman
20190115_EE05-2_C3,Cantherhines pullus,1,38.96666667,GP020299,00:11:25,Liliana Colman
20190115_EE05-2_C3,Aulostomus strigosus,1,60.56666667,GP030299,00:15:20,Liliana Colman
20190115_EE05-2_C3,Epinephelus adscensionis,1,61.96666667,GP030299,00:16:44,Liliana Colman
20190115_EE05-2_C3,Sparisoma choati,1,65.16666667,GP040299,00:02:15,Liliana Colman
20181212_SO06_C8,Polychaete,1,0,GOPR0290,00:08:58,Liliana Colman
20181212_SO06_C8,Carangoides bartholomaei,2,25.63333333,GP010290,00:16:55,Liliana Colman
20181212_SO06_C8,Xyrichtys novacula,1,30.03333333,GP020290,00:03:38,Liliana Colman
20181212_SO06_C8,Caranx lugubris,1,56.5,GP030290,00:12:25,Liliana Colman
20181212_SO06_C8,Xyrichtys novacula,2,58.88333333,GP030290,00:14:48,Liliana Colman
20181212_SO06_C8,NA1,1,63.53333333,GP040290,00:01:46,Liliana Colman
20181212_SO06_C8,Trachinotus ovatus,1,76.16666667,GP040290,00:14:24,Liliana Colman
20181212_SO07_B1,Serranus pulcher,7,0,GOPR5841,00:08:09,Liliana Colman
20181212_SO07_B1,Cephalopholis taeniops,1,0.1,GOPR5841,00:08:15,Liliana Colman
20181212_SO07_B1,Xyrichtys novacula,1,0.266666667,GOPR5841,00:08:25,Liliana Colman
20181212_SO07_B1,Xyrichtys novacula,2,9.283333333,GP015841,00:08:34,Liliana Colman
20181212_SO07_B1,Hypanus rudis,1,11.13333333,GP025841,00:01:34,Liliana Colman
20181212_SO07_B1,Carangoides bartholomaei,2,11.33333333,GP025841,00:01:46,Liliana Colman
20181212_SO07_B1,Caranx crysos,1,11.33333333,GP025841,00:01:46,Liliana Colman
20181212_SO07_B1,Cephalopholis taeniops,2,16.15,GP025841,00:06:35,Liliana Colman
20181212_SO07_B1,Rypticus saponaceus,1,16.45,GP025841,00:06:53,Liliana Colman
20181212_SO07_B1,Aluterus scriptus,1,20.36666667,GP035841,00:01:57,Liliana Colman
20181212_SO07_B1,Xyrichtys novacula,4,27.78333333,GP045841,00:00:31,Liliana Colman
20181212_SO07_B1,Lethrinus atlanticus,1,54.28333333,GP075841,00:00:28,Liliana Colman
20181212_SO07_B1,Sphyraena barracuda,2,64.05,GP085841,00:01:23,Liliana Colman
20181212_SO07_B1,Serranus pulcher,11,69.51666667,GP085841,00:06:51,Liliana Colman
20190115_SE09_C3,Paranthias furcifer,5,0,GOPR0298,00:08:42,Liliana Colman
20190115_SE09_C3,Holocentrus adscensionis,1,0,GOPR0298,00:08:42,Liliana Colman
20190115_SE09_C3,Bodianus speciosus,1,0.016666667,GOPR0298,00:08:43,Liliana Colman
20190115_SE09_C3,Cephalopholis nigri,1,0.033333333,GOPR0298,00:08:44,Liliana Colman
20190115_SE09_C3,Holocentrus adscensionis,2,0.3,GOPR0298,00:09:00,Liliana Colman
20190115_SE09_C3,Cephalopholis nigri,2,0.3,GOPR0298,00:09:00,Liliana Colman
20190115_SE09_C3,Holacanthus africanus,2,0.85,GOPR0298,00:09:33,Liliana Colman
20190115_SE09_C3,Muraena melanotis,1,0.933333333,GOPR0298,00:09:38,Liliana Colman
20190115_SE09_C3,Paranthias furcifer,21,1.083333333,GOPR0298,00:09:47,Liliana Colman
20190115_SE09_C3,Thalassoma newtoni,1,1.466666667,GOPR0298,00:10:10,Liliana Colman
20190115_SE09_C3,Rypticus saponaceus,1,2.016666667,GOPR0298,00:10:43,Liliana Colman
20190115_SE09_C3,Abudefduf saxatilis,2,2.016666667,GOPR0298,00:10:43,Liliana Colman
20190115_SE09_C3,Canthigaster supramacula,1,2.283333333,GOPR0298,00:10:59,Liliana Colman
20190115_SE09_C3,Rypticus saponaceus,2,2.816666667,GOPR0298,00:11:31,Liliana Colman
20190115_SE09_C3,Enchelycore nigricans,1,2.85,GOPR0298,00:11:33,Liliana Colman
20190115_SE09_C3,Lutjanus fulgens,2,3.8,GOPR0298,00:12:30,Liliana Colman
20190115_SE09_C3,Canthigaster supramacula,2,3.8,GOPR0298,00:12:30,Liliana Colman
20190115_SE09_C3,Paranthias furcifer,101,3.85,GOPR0298,00:12:33,Liliana Colman
20190115_SE09_C3,Holacanthus africanus,3,4.066666667,GOPR0298,00:12:46,Liliana Colman
20190115_SE09_C3,Cephalopholis nigri,3,5.15,GOPR0298,00:13:51,Liliana Colman
20190115_SE09_C3,Thalassoma newtoni,2,6.2,GOPR0298,00:14:54,Liliana Colman
20190115_SE09_C3,Lutjanus fulgens,3,6.866666667,GOPR0298,00:15:34,Liliana Colman
20190115_SE09_C3,Holocentrus adscensionis,4,7.533333333,GOPR0298,00:16:14,Liliana Colman
20190115_SE09_C3,Scarus hoefleri,1,7.983333333,GOPR0298,00:16:41,Liliana Colman
20190115_SE09_C3,Lethrinus atlanticus,1,13.78333333,GP010298,00:04:48,Liliana Colman
20190115_SE09_C3,Lethrinus atlanticus,2,14.31666667,GP010298,00:05:20,Liliana Colman
20190115_SE09_C3,Holacanthus africanus,4,15.55,GP010298,00:06:34,Liliana Colman
20190115_SE09_C3,Lethrinus atlanticus,3,20.78333333,GP010298,00:11:48,Liliana Colman
